"";"gene_ID";"gene";"X3"
"49";"LOC6578203";"Ekar";"Gene Expression"
"50";"LOC116803873";"LOC116803873";"Gene Expression"
"51";"LOC6578202";"Scp1";"Gene Expression"
"52";"LOC122757132";"LOC122757132";"Gene Expression"
"53";"LOC26528445";"LOC26528445";"Gene Expression"
"54";"LOC122757304";"LOC122757304";"Gene Expression"
"55";"LOC26528218";"LOC26528218";"Gene Expression"
"56";"LOC6578206";"me31B";"Gene Expression"
"57";"LOC6578208";"Nipped-B";"Gene Expression"
"58";"LOC116803883";"LOC116803883";"Gene Expression"
"59";"LOC116803947";"LOC116803947";"Gene Expression"
"60";"LOC116803960";"LOC116803960";"Gene Expression"
"61";"LOC6578211";"dpr19";"Gene Expression"
"62";"LOC122757637";"LOC122757637";"Gene Expression"
"63";"LOC122757635";"LOC122757635";"Gene Expression"
"64";"LOC122757644";"LOC122757644";"Gene Expression"
"65";"LOC6578213";"LOC6578213";"Gene Expression"
"66";"LOC122756908";"LOC122756908";"Gene Expression"
"67";"LOC122757793";"LOC122757793";"Gene Expression"
"68";"LOC6578216";"CG5708";"Gene Expression"
"69";"LOC122757880";"LOC122757880";"Gene Expression"
"70";"LOC116803865";"LOC116803865";"Gene Expression"
"71";"LOC26527543";"LOC26527543";"Gene Expression"
"72";"LOC6578217";"Eip55E";"Gene Expression"
"73";"Trnak-cuu";"Trnak-cuu";"Gene Expression"
"74";"LOC6578221";"RnrL";"Gene Expression"
"75";"LOC122756720";"LOC122756720";"Gene Expression"
"76";"LOC6578222";"CG5727";"Gene Expression"
"77";"LOC116804772";"LOC116804772";"Gene Expression"
"78";"LOC6578223";"CG5037";"Gene Expression"
"79";"LOC122757191";"LOC122757191";"Gene Expression"
"80";"LOC6578224";"Cnot4";"Gene Expression"
"81";"LOC116803990";"LOC116803990";"Gene Expression"
"82";"LOC122757501";"LOC122757501";"Gene Expression"
"83";"LOC116803878";"LOC116803878";"Gene Expression"
"84";"LOC6578227";"CG4908";"Gene Expression"
"85";"LOC122757488";"LOC122757488";"Gene Expression"
"86";"LOC122757485";"LOC122757485";"Gene Expression"
"87";"LOC122757487";"LOC122757487";"Gene Expression"
"88";"LOC122757492";"LOC122757492";"Gene Expression"
"89";"LOC122757469";"LOC122757469";"Gene Expression"
"90";"LOC122757494";"LOC122757494";"Gene Expression"
"91";"LOC122757479";"LOC122757479";"Gene Expression"
"92";"LOC6578229";"Prosalpha6";"Gene Expression"
"93";"LOC122756803";"LOC122756803";"Gene Expression"
"94";"LOC122757398";"LOC122757398";"Gene Expression"
"95";"LOC6578231";"Cdk5alpha";"Gene Expression"
"96";"LOC6578232";"gny";"Gene Expression"
"97";"LOC26527136";"LOC26527136";"Gene Expression"
"98";"LOC26528624";"MFS17";"Gene Expression"
"99";"LOC116803962";"LOC116803962";"Gene Expression"
"100";"LOC122757434";"LOC122757434";"Gene Expression"
"101";"LOC122757440";"LOC122757440";"Gene Expression"
"102";"LOC6578233";"GATAd";"Gene Expression"
"103";"LOC116803961";"LOC116803961";"Gene Expression"
"104";"LOC122757063";"LOC122757063";"Gene Expression"
"105";"LOC122757455";"LOC122757455";"Gene Expression"
"106";"LOC116803932";"LOC116803932";"Gene Expression"
"107";"LOC122757462";"LOC122757462";"Gene Expression"
"108";"LOC122756920";"LOC122756920";"Gene Expression"
"109";"LOC122757671";"LOC122757671";"Gene Expression"
"110";"LOC6577765";"Lsp1gamma";"Gene Expression"
"111";"Trnal-cag";"Trnal-cag";"Gene Expression"
"112";"LOC6577758";"Sema1a";"Gene Expression"
"113";"Trnad-guc";"Trnad-guc";"Gene Expression"
"114";"Trnad-guc_1";"Trnad-guc_1";"Gene Expression"
"115";"Trnad-guc_2";"Trnad-guc_2";"Gene Expression"
"116";"Trnad-guc_3";"Trnad-guc_3";"Gene Expression"
"117";"Trnad-guc_4";"Trnad-guc_4";"Gene Expression"
"118";"LOC6586944";"LOC6586944";"Gene Expression"
"119";"LOC122757699";"LOC122757699";"Gene Expression"
"120";"LOC26527229";"LOC26527229";"Gene Expression"
"121";"LOC26527617";"LOC26527617";"Gene Expression"
"122";"LOC6585760";"Adar";"Gene Expression"
"123";"LOC6585758";"OtopLb";"Gene Expression"
"124";"LOC26527485";"LOC26527485";"Gene Expression"
"125";"LOC6585757";"CG8236";"Gene Expression"
"126";"LOC6585756";"Scgdelta";"Gene Expression"
"127";"LOC6585754";"CG3795";"Gene Expression"
"128";"LOC6585752";"a6";"Gene Expression"
"129";"LOC26527245";"CG32809";"Gene Expression"
"130";"LOC6585751";"b6";"Gene Expression"
"131";"LOC6585750";"CG14797";"Gene Expression"
"132";"LOC122757904";"LOC122757904";"Gene Expression"
"133";"LOC122757903";"LOC122757903";"Gene Expression"
"134";"LOC6585748";"hfw";"Gene Expression"
"135";"LOC6585747";"CG3740";"Gene Expression"
"136";"LOC6585746";"dor";"Gene Expression"
"137";"LOC6585745";"spn-D";"Gene Expression"
"138";"LOC6585742";"br";"Gene Expression"
"139";"LOC26527163";"LOC26527163";"Gene Expression"
"140";"LOC6585741";"inc";"Gene Expression"
"141";"LOC6585740";"CG14795";"Gene Expression"
"142";"LOC6585739";"Nmdar2";"Gene Expression"
"143";"LOC6585737";"sta";"Gene Expression"
"144";"LOC6585735";"mei-38";"Gene Expression"
"145";"LOC122756692";"rush";"Gene Expression"
"146";"LOC6585734";"rux";"Gene Expression"
"147";"LOC6585733";"CG32945";"Gene Expression"
"148";"LOC6585732";"CG14777";"Gene Expression"
"149";"LOC6585731";"CG32808";"Gene Expression"
"150";"LOC6585730";"CG14778";"Gene Expression"
"151";"LOC6585729";"pck";"Gene Expression"
"152";"LOC6585728";"CG14780";"Gene Expression"
"153";"LOC6585727";"Rab27";"Gene Expression"
"154";"LOC6585726";"Vap33";"Gene Expression"
"155";"LOC6585725";"Glos";"Gene Expression"
"156";"LOC6585724";"CG2938";"Gene Expression"
"157";"LOC6585722";"CG42541";"Gene Expression"
"158";"LOC6585721";"CG15239";"Gene Expression"
"159";"LOC6585720";"VhaAC39-1";"Gene Expression"
"160";"LOC6585718";"CG2930";"Gene Expression"
"161";"LOC6585717";"LOC6585717";"Gene Expression"
"162";"LOC6585716";"ec";"Gene Expression"
"163";"LOC6585714";"CG2901";"Gene Expression"
"164";"LOC6585711";"LOC6585711";"Gene Expression"
"165";"LOC6585710";"PGRP-SA";"Gene Expression"
"166";"LOC6585709";"fd3F";"Gene Expression"
"167";"LOC6585708";"RpII215";"Gene Expression"
"168";"LOC6585707";"CG11699";"Gene Expression"
"169";"LOC6585706";"Kmn1";"Gene Expression"
"170";"LOC6585705";"Reepl1";"Gene Expression"
"171";"LOC6585704";"CG13367";"Gene Expression"
"172";"LOC6585703";"Myo10A";"Gene Expression"
"173";"LOC122757763";"LOC122757763";"Gene Expression"
"174";"LOC6585700";"C901";"Gene Expression"
"175";"LOC6585699";"CG42339";"Gene Expression"
"176";"LOC6585697";"LOC6585697";"Gene Expression"
"177";"LOC116804577";"LOC116804577";"Gene Expression"
"178";"LOC6585695";"SmydA-4";"Gene Expression"
"179";"LOC6585694";"CG1552";"Gene Expression"
"180";"LOC6585693";"CG1545";"Gene Expression"
"181";"LOC6585692";"CG1537";"Gene Expression"
"182";"LOC6585691";"CG15203";"Gene Expression"
"183";"LOC6585690";"sev";"Gene Expression"
"184";"LOC6585689";"Vago";"Gene Expression"
"185";"LOC6585688";"CG2076";"Gene Expression"
"186";"LOC6585687";"CG2061";"Gene Expression"
"187";"LOC6585686";"eIF3g1";"Gene Expression"
"188";"LOC6585685";"Smyd3";"Gene Expression"
"189";"LOC6585684";"Zw10";"Gene Expression"
"190";"LOC6585683";"Torsin";"Gene Expression"
"191";"LOC6585682";"mRpL30";"Gene Expression"
"192";"LOC6585681";"HLH4C";"Gene Expression"
"193";"LOC6585680";"CG3062";"Gene Expression"
"194";"LOC6585679";"CG3081";"Gene Expression"
"195";"LOC6585678";"pon";"Gene Expression"
"196";"LOC6585677";"CG9281";"Gene Expression"
"197";"LOC116804584";"LOC116804584";"Gene Expression"
"198";"LOC6585676";"CG8134";"Gene Expression"
"199";"LOC6585675";"Pis";"Gene Expression"
"200";"LOC6585674";"CG9240";"Gene Expression"
"201";"LOC6585673";"CG8128";"Gene Expression"
"202";"LOC6585672";"CG8565";"Gene Expression"
"203";"LOC6585671";"LOC6585671";"Gene Expression"
"204";"LOC6585670";"CG12708";"Gene Expression"
"205";"LOC6585669";"LOC6585669";"Gene Expression"
"206";"LOC6585668";"CG15646";"Gene Expression"
"207";"LOC6585667";"DAAM";"Gene Expression"
"208";"LOC26527760";"LOC26527760";"Gene Expression"
"209";"LOC122757021";"LOC122757021";"Gene Expression"
"210";"LOC116804569";"LOC116804569";"Gene Expression"
"211";"LOC6585665";"exd";"Gene Expression"
"212";"LOC116804573";"LOC116804573";"Gene Expression"
"213";"LOC6585664";"LOC6585664";"Gene Expression"
"214";"LOC6585663";"vap";"Gene Expression"
"215";"LOC6585662";"CG12375";"Gene Expression"
"216";"LOC6585661";"CG8939";"Gene Expression"
"217";"LOC6585660";"mRpL3";"Gene Expression"
"218";"LOC26528506";"LOC26528506";"Gene Expression"
"219";"LOC6585659";"Slc25A46a";"Gene Expression"
"220";"LOC6585658";"Ogg1";"Gene Expression"
"221";"LOC6585656";"LOC6585656";"Gene Expression"
"222";"LOC6585655";"LOC6585655";"Gene Expression"
"223";"LOC6585654";"CG8757";"Gene Expression"
"224";"LOC6587058";"LOC6587058";"Gene Expression"
"225";"LOC6585651";"kek5";"Gene Expression"
"226";"LOC116804568";"LOC116804568";"Gene Expression"
"227";"LOC6585649";"Naa15-16";"Gene Expression"
"228";"LOC6585648";"mRpS14";"Gene Expression"
"229";"LOC6585647";"CG32533";"Gene Expression"
"230";"LOC116804582";"LOC116804582";"Gene Expression"
"231";"LOC6585646";"pcm";"Gene Expression"
"232";"LOC6585645";"ND-18";"Gene Expression"
"233";"LOC6585644";"CG12204";"Gene Expression"
"234";"LOC6585643";"ksh";"Gene Expression"
"235";"LOC6585640";"CG14200";"Gene Expression"
"236";"LOC6585642";"Pfrx";"Gene Expression"
"237";"LOC6585639";"LOC6585639";"Gene Expression"
"238";"LOC6585638";"Idh3a";"Gene Expression"
"239";"LOC6585637";"CoRest";"Gene Expression"
"240";"LOC6585636";"LOC6585636";"Gene Expression"
"241";"LOC6585635";"CG32532";"Gene Expression"
"242";"LOC6585633";"Grip84";"Gene Expression"
"243";"LOC6585632";"kz";"Gene Expression"
"244";"LOC6585631";"pcx";"Gene Expression"
"245";"LOC122757896";"LOC122757896";"Gene Expression"
"246";"LOC6585629";"CG14052";"Gene Expression"
"247";"LOC6585628";"AP-1-2beta";"Gene Expression"
"248";"LOC6585627";"CG14234";"Gene Expression"
"249";"LOC6585626";"COX6B";"Gene Expression"
"250";"LOC6585625";"CG18809";"Gene Expression"
"251";"LOC6585624";"Rpp20";"Gene Expression"
"252";"LOC6585623";"CG33932";"Gene Expression"
"253";"LOC122757899";"LOC122757899";"Gene Expression"
"254";"LOC6585622";"parvin";"Gene Expression"
"255";"LOC6585621";"Alr";"Gene Expression"
"256";"LOC6585620";"Jafrac1";"Gene Expression"
"257";"LOC6585619";"RpS15Aa";"Gene Expression"
"258";"LOC6585618";"CG15747";"Gene Expression"
"259";"LOC6585617";"Syt12";"Gene Expression"
"260";"LOC6585616";"dmrt11E";"Gene Expression"
"261";"LOC6585615";"wuho";"Gene Expression"
"262";"LOC6585614";"Rpt4";"Gene Expression"
"263";"LOC6585613";"CG15912";"Gene Expression"
"264";"LOC6585612";"CG11436";"Gene Expression"
"265";"LOC122757898";"LOC122757898";"Gene Expression"
"266";"LOC6585611";"Hmt4-20";"Gene Expression"
"267";"LOC6585608";"Roc1a";"Gene Expression"
"268";"LOC6585607";"CG14803";"Gene Expression"
"269";"LOC6585606";"LOC6585606";"Gene Expression"
"270";"LOC6585605";"Pgam5";"Gene Expression"
"271";"LOC6585604";"CG3630";"Gene Expression"
"272";"LOC6585602";"Cyp4d1";"Gene Expression"
"273";"LOC6585601";"LOC6585601";"Gene Expression"
"274";"LOC6585600";"LOC6585600";"Gene Expression"
"275";"LOC6585599";"CG1582";"Gene Expression"
"276";"LOC6585598";"Ork1";"Gene Expression"
"277";"LOC6585597";"CG30355";"Gene Expression"
"278";"LOC6585596";"CG1637";"Gene Expression"
"279";"LOC6585593";"CG2157";"Gene Expression"
"280";"LOC6585592";"CG2186";"Gene Expression"
"281";"LOC6585591";"ATP7";"Gene Expression"
"282";"LOC6585590";"Nrd1";"Gene Expression"
"283";"LOC26527318";"LOC26527318";"Gene Expression"
"284";"LOC6585589";"CG14411";"Gene Expression"
"285";"LOC6585587";"CG14407";"Gene Expression"
"286";"LOC6585585";"norpA";"Gene Expression"
"287";"LOC122757897";"LOC122757897";"Gene Expression"
"288";"LOC6585583";"CG12693";"Gene Expression"
"289";"LOC116804588";"LOC116804588";"Gene Expression"
"290";"LOC6585582";"mRpL33";"Gene Expression"
"291";"LOC6585581";"NO66";"Gene Expression"
"292";"LOC6585580";"mei-9";"Gene Expression"
"293";"LOC6585579";"CG15579";"Gene Expression"
"294";"LOC6585578";"LOC6585578";"Gene Expression"
"295";"LOC6585577";"CG15577";"Gene Expression"
"296";"LOC6585575";"CG15572";"Gene Expression"
"297";"LOC6585574";"CG12691";"Gene Expression"
"298";"LOC6585573";"LOC6585573";"Gene Expression"
"299";"LOC116804585";"LOC116804585";"Gene Expression"
"300";"LOC116803658";"CG15576";"Gene Expression"
"301";"LOC6585571";"LOC6585571";"Gene Expression"
"302";"LOC6585569";"CG43134";"Gene Expression"
"303";"LOC6585568";"Muc4B";"Gene Expression"
"304";"LOC6585567";"Femcoat";"Gene Expression"
"305";"LOC26527865";"LOC26527865";"Gene Expression"
"306";"LOC6585566";"CG34007";"Gene Expression"
"307";"LOC6585565";"CG15570";"Gene Expression"
"308";"LOC6585564";"CG15571";"Gene Expression"
"309";"LOC26528370";"LOC26528370";"Gene Expression"
"310";"LOC116804587";"LOC116804587";"Gene Expression"
"311";"LOC6585562";"Fas2";"Gene Expression"
"312";"LOC6585563";"LOC6585563";"Gene Expression"
"313";"LOC6585561";"GlcAT-I";"Gene Expression"
"314";"LOC122757900";"LOC122757900";"Gene Expression"
"315";"LOC6585560";"CG14708";"Gene Expression"
"316";"LOC6585559";"tyf";"Gene Expression"
"317";"LOC6585558";"Tip60";"Gene Expression"
"318";"LOC26527955";"LOC26527955";"Gene Expression"
"319";"LOC116804586";"LOC116804586";"Gene Expression"
"320";"LOC6585557";"dgt4";"Gene Expression"
"321";"LOC6585556";"Nsun2";"Gene Expression"
"322";"LOC6585555";"LOC6585555";"Gene Expression"
"323";"LOC6585554";"cib";"Gene Expression"
"324";"LOC6585553";"brn";"Gene Expression"
"325";"LOC6585552";"Xpac";"Gene Expression"
"326";"LOC6585551";"CG6379";"Gene Expression"
"327";"LOC6585550";"CG14903";"Gene Expression"
"328";"LOC6585548";"CG43689";"Gene Expression"
"329";"LOC6585547";"LOC6585547";"Gene Expression"
"330";"LOC6585545";"CG6414";"Gene Expression"
"331";"LOC6585544";"Ubc7";"Gene Expression"
"332";"LOC6585543";"MAPk-Ak2";"Gene Expression"
"333";"LOC6585542";"CG15771";"Gene Expression"
"334";"LOC6585541";"LOC6585541";"Gene Expression"
"335";"LOC6585540";"CG15772";"Gene Expression"
"336";"LOC6585539";"Nxt1";"Gene Expression"
"337";"LOC6585538";"CG2540";"Gene Expression"
"338";"LOC6585537";"Aven";"Gene Expression"
"339";"LOC6585535";"LOC6585535";"Gene Expression"
"340";"LOC6585536";"CG15728";"Gene Expression"
"341";"LOC116804814";"LOC116804814";"Gene Expression"
"342";"LOC6585534";"CG11085";"Gene Expression"
"343";"LOC26528675";"Fpgs";"Gene Expression"
"344";"LOC6585533";"CG1463";"Gene Expression"
"345";"LOC6585532";"Sec16";"Gene Expression"
"346";"LOC6585531";"CG4069";"Gene Expression"
"347";"LOC6585530";"CG1824";"Gene Expression"
"348";"LOC6585529";"LIMK1";"Gene Expression"
"349";"LOC6585528";"Pits";"Gene Expression"
"350";"LOC6585525";"hwt";"Gene Expression"
"351";"LOC6585526";"Cpr11B";"Gene Expression"
"352";"LOC116804575";"CG2556";"Gene Expression"
"353";"LOC6585524";"Mks1";"Gene Expression"
"354";"LOC6585523";"Cpr11A";"Gene Expression"
"355";"LOC6585522";"CG42258";"Gene Expression"
"356";"LOC6585520";"sqh";"Gene Expression"
"357";"LOC6585518";"Efr";"Gene Expression"
"358";"LOC6585517";"Btnd";"Gene Expression"
"359";"LOC6585515";"LOC6585515";"Gene Expression"
"360";"LOC6585514";"LOC6585514";"Gene Expression"
"361";"LOC6585513";"vanin-like";"Gene Expression"
"362";"LOC6585512";"CG32750";"Gene Expression"
"363";"LOC6585509";"Ca-alpha1T";"Gene Expression"
"364";"LOC6585508";"CG32645";"Gene Expression"
"365";"LOC6585507";"CG4332";"Gene Expression"
"366";"LOC6585506";"Bap60";"Gene Expression"
"367";"LOC6585505";"CG12096";"Gene Expression"
"368";"LOC6585503";"Lgr4";"Gene Expression"
"369";"LOC6585501";"LOC6585501";"Gene Expression"
"370";"LOC6585500";"CG12723";"Gene Expression"
"371";"LOC6585499";"Coq5";"Gene Expression"
"372";"LOC6585498";"CG5921";"Gene Expression"
"373";"LOC6585497";"LOC6585497";"Gene Expression"
"374";"LOC6585496";"CG5928";"Gene Expression"
"375";"LOC26527157";"LOC26527157";"Gene Expression"
"376";"LOC6585495";"Tsp5D";"Gene Expression"
"377";"LOC6585493";"CG4666";"Gene Expression"
"378";"LOC6585492";"CG4660";"Gene Expression"
"379";"LOC6585491";"raptor";"Gene Expression"
"380";"LOC6585490";"CG33107";"Gene Expression"
"381";"LOC6585489";"Nep1";"Gene Expression"
"382";"LOC6585488";"MFS10";"Gene Expression"
"383";"LOC6585487";"CG2336";"Gene Expression"
"384";"LOC6585486";"CG32638";"Gene Expression"
"385";"LOC6585485";"CG42237";"Gene Expression"
"386";"LOC6585483";"Pat1";"Gene Expression"
"387";"LOC6585482";"CG17717";"Gene Expression"
"388";"LOC6585480";"CG34417";"Gene Expression"
"389";"LOC6585478";"LOC6585478";"Gene Expression"
"390";"LOC6585477";"dx";"Gene Expression"
"391";"LOC6585476";"RpL7A";"Gene Expression"
"392";"LOC6585475";"Spat";"Gene Expression"
"393";"LOC6585474";"CG3335";"Gene Expression"
"394";"LOC6585472";"RhoGAP1A";"Gene Expression"
"395";"LOC6585471";"CG17636";"Gene Expression"
"396";"LOC6585470";"CG5815";"Gene Expression"
"397";"LOC6585469";"CG12379";"Gene Expression"
"398";"LOC6585468";"CG8191";"Gene Expression"
"399";"LOC6585467";"HUWE1";"Gene Expression"
"400";"LOC6585466";"CG15601";"Gene Expression"
"401";"LOC6585465";"LOC6585465";"Gene Expression"
"402";"LOC6585464";"CG14221";"Gene Expression"
"403";"LOC6585463";"CG15814";"Gene Expression"
"404";"LOC6585462";"Spt7";"Gene Expression"
"405";"LOC6585461";"CG32554";"Gene Expression"
"406";"LOC6585460";"Mco4";"Gene Expression"
"407";"LOC6585459";"CG6762";"Gene Expression"
"408";"LOC6585458";"Arp8";"Gene Expression"
"409";"LOC6585457";"CG6769";"Gene Expression"
"410";"LOC6585456";"mnb";"Gene Expression"
"411";"LOC122757765";"LOC122757765";"Gene Expression"
"412";"LOC116804576";"LOC116804576";"Gene Expression"
"413";"LOC6585454";"CG5126";"Gene Expression"
"414";"LOC6585453";"CG13694";"Gene Expression"
"415";"LOC6585452";"sov";"Gene Expression"
"416";"LOC26527413";"LOC26527413";"Gene Expression"
"417";"LOC6585451";"CG14439";"Gene Expression"
"418";"Trnaf-gaa";"Trnaf-gaa";"Gene Expression"
"419";"Trnaf-gaa_1";"Trnaf-gaa_1";"Gene Expression"
"420";"Trnaf-gaa_2";"Trnaf-gaa_2";"Gene Expression"
"421";"LOC6585447";"CG44774";"Gene Expression"
"422";"LOC6585446";"Hira";"Gene Expression"
"423";"LOC6585445";"LOC6585445";"Gene Expression"
"424";"LOC6585444";"CG12155";"Gene Expression"
"425";"LOC6585443";"Pdp";"Gene Expression"
"426";"LOC6585442";"Rab39";"Gene Expression"
"427";"LOC6585441";"Tom40";"Gene Expression"
"428";"LOC6585439";"Ir7a";"Gene Expression"
"429";"LOC122757790";"LOC122757790";"Gene Expression"
"430";"LOC6585437";"CG13137";"Gene Expression"
"431";"LOC26528536";"LOC26528536";"Gene Expression"
"432";"LOC6585436";"CARPA";"Gene Expression"
"433";"LOC6585433";"LOC6585433";"Gene Expression"
"434";"LOC6585432";"CG10920";"Gene Expression"
"435";"LOC26527181";"LOC26527181";"Gene Expression"
"436";"LOC26527419";"LOC26527419";"Gene Expression"
"437";"LOC6585430";"Ir7b";"Gene Expression"
"438";"LOC26527629";"dec-1";"Gene Expression"
"439";"LOC6585427";"Ir7c";"Gene Expression"
"440";"LOC122756823";"Ir7d";"Gene Expression"
"441";"LOC6585425";"Mst27D";"Gene Expression"
"442";"LOC26528187";"Ir7e3";"Gene Expression"
"443";"LOC26527573";"Ir7e2";"Gene Expression"
"444";"LOC6585424";"Ir7f";"Gene Expression"
"445";"LOC6585423";"CG3719";"Gene Expression"
"446";"LOC6585422";"AMPKalpha";"Gene Expression"
"447";"LOC116804574";"LOC116804574";"Gene Expression"
"448";"LOC6585420";"ssx";"Gene Expression"
"449";"LOC122757855";"CG11381";"Gene Expression"
"450";"LOC6585418";"CG14624";"Gene Expression"
"451";"LOC6585417";"CG11382";"Gene Expression"
"452";"LOC6585416";"Ir7e";"Gene Expression"
"453";"LOC6585415";"CG6903";"Gene Expression"
"454";"LOC6585414";"CG4041";"Gene Expression"
"455";"LOC6585413";"Tomosyn";"Gene Expression"
"456";"LOC122757909";"LOC122757909";"Gene Expression"
"457";"LOC6585412";"CkIalpha";"Gene Expression"
"458";"LOC6585411";"LOC6585411";"Gene Expression"
"459";"LOC6585410";"Top3beta";"Gene Expression"
"460";"LOC6585407";"Ptp10D";"Gene Expression"
"461";"LOC26528285";"LOC26528285";"Gene Expression"
"462";"LOC6585409";"CG15357";"Gene Expression"
"463";"Trnag-gcc";"Trnag-gcc";"Gene Expression"
"464";"LOC6585405";"Vlet";"Gene Expression"
"465";"LOC6585404";"bif";"Gene Expression"
"466";"LOC6585403";"PhKgamma";"Gene Expression"
"467";"LOC122757913";"LOC122757913";"Gene Expression"
"468";"LOC6585402";"CG2444";"Gene Expression"
"469";"LOC6585401";"FucT6";"Gene Expression"
"470";"LOC6585400";"Amun";"Gene Expression"
"471";"LOC6585399";"Naa20A";"Gene Expression"
"472";"LOC6585398";"MKP-4";"Gene Expression"
"473";"LOC6585397";"Spx";"Gene Expression"
"474";"LOC6585396";"Rbcn-3A";"Gene Expression"
"475";"LOC6585395";"CG14445";"Gene Expression"
"476";"LOC6585394";"dtn";"Gene Expression"
"477";"LOC6585393";"CG3546";"Gene Expression"
"478";"LOC6585391";"peb";"Gene Expression"
"479";"LOC6585390";"CG17896";"Gene Expression"
"480";"LOC122756900";"LOC122756900";"Gene Expression"
"481";"LOC6585389";"CG3156";"Gene Expression"
"482";"LOC6585388";"CG18273";"Gene Expression"
"483";"LOC6585387";"CG13373";"Gene Expression"
"484";"LOC6585386";"LOC6585386";"Gene Expression"
"485";"LOC6585385";"Gss2";"Gene Expression"
"486";"LOC6585384";"CG7772";"Gene Expression"
"487";"LOC6585383";"Pp4-19C";"Gene Expression"
"488";"LOC6585382";"Obp19d";"Gene Expression"
"489";"LOC6585381";"Obp19c";"Gene Expression"
"490";"LOC6585380";"Obp19b";"Gene Expression"
"491";"LOC6585379";"Obp19a";"Gene Expression"
"492";"LOC6585378";"CG15458";"Gene Expression"
"493";"LOC6585377";"CG15459";"Gene Expression"
"494";"LOC6585376";"HERC2";"Gene Expression"
"495";"LOC6585375";"beta-Spec";"Gene Expression"
"496";"LOC6585374";"IntS2";"Gene Expression"
"497";"LOC6585373";"Hsp60A";"Gene Expression"
"498";"LOC122756903";"LOC122756903";"Gene Expression"
"499";"LOC6585371";"CG42249";"Gene Expression"
"500";"LOC6585370";"CG17163";"Gene Expression"
"501";"LOC26527373";"CG17167";"Gene Expression"
"502";"LOC26527449";"CG12061";"Gene Expression"
"503";"LOC6585369";"zyd";"Gene Expression"
"504";"LOC6585368";"Coa7";"Gene Expression"
"505";"LOC6585367";"pie";"Gene Expression"
"506";"LOC6585366";"Sirt4";"Gene Expression"
"507";"LOC6585365";"CG4119";"Gene Expression"
"508";"LOC6585364";"Rab18";"Gene Expression"
"509";"LOC6585363";"RpL35";"Gene Expression"
"510";"LOC6585362";"LOC6585362";"Gene Expression"
"511";"LOC6585361";"Tre1";"Gene Expression"
"512";"LOC6585360";"Gr5a";"Gene Expression"
"513";"LOC6585359";"CG42449";"Gene Expression"
"514";"LOC6585358";"PGAP1";"Gene Expression"
"515";"LOC6585357";"cv";"Gene Expression"
"516";"LOC6585356";"Spg7";"Gene Expression"
"517";"LOC6585355";"dyw";"Gene Expression"
"518";"LOC6585354";"per";"Gene Expression"
"519";"LOC6585352";"CG43901";"Gene Expression"
"520";"LOC6585351";"v";"Gene Expression"
